"0059-04270";"KULISSE-RING";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0017-18060";"KULISSE2";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"4000-18250";"ENDEFFECTOR.300P-SR824X-CERAMIC";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"4000-18260";"ENDEFFECTOR.300V-SR824X-CERAMIC";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0050-00520";"ENDEFFEKTORBLECH-SR8240";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0050-00580";"ENDEFFEKTORBLECH2";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0050-00581";"ENDEFFEKTORBLECH2";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0059-05230";"UNTERLEGBLECH";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0059-05240";"UNTERLEGBLECH-VO";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0017-12630";"ST-BLECH";"Robot";"";"";"0017-12631";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0017-12631";"ST-BLECH";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0017-12790";"ST-BLECH2";"Robot";"";"";"0017-12791";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0017-12791";"ST-BLECH2";"Robot";"";"";"0017-12792";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
"0017-12792";"ST-BLECH2";"Robot";"";"";"";"";"";"";"";"x";"x";"";"";"";"";"x";"x";"";"";"";"";"";"x";"";"";"";"";"x";"";"";"";"";"";"";""
