EDPConsole (by Sven Ginka)
test á oder  test
orig>tables
AnsiToUTF8>tables
UTF8ToAnsi>tables
orig>*
AnsiToUTF8>*
UTF8ToAnsi>*
tabellen bersicht
LOG>connected
LOG>abas Version 2010r4n07
LOG>lang code:D
LOG>iso code:de
LOG>lang var:de
LOG>trim values:1
LOG>rec size:362
DATA>name,desc,num,type,typestr,databasenr,databasename,groupbits,groupnrs,groupnames,hastable,aliveflag
DATA>#ZVStamm:Zuordnungsmerkmale#Zuordnungsmerkmale (ZVStamm)#66:5#1#Selektions-Leiste#66#ZVStamm#32#5#Zuordnungsmerkmale#0#9
DATA>#ZVStamm:Zahlungsverteiler#Zahlungsverteiler (ZVStamm)#66:6#1#Selektions-Leiste#66#ZVStamm#64#6#Zahlungsverteiler#1#9
DATA>#ZVStamm:SEPA-Lastschriftmandat - Verkauf#SEPA-Lastschriftmandat - Verkauf (ZVStamm)#66:3#1#Selektions-Leiste#66#ZVStamm#8#3#SEPA-Lastschriftmandat - Verkauf#0#9
DATA>#ZVStamm:SEPA-Lastschriftmandat - Einkauf#SEPA-Lastschriftmandat - Einkauf (ZVStamm)#66:7#1#Selektions-Leiste#66#ZVStamm#128#7#SEPA-Lastschriftmandat - Einkauf#0#9
DATA>#ZVStamm:ZVkonfig#ZVkonfig (ZVStamm)#66:1#1#Selektions-Leiste#66#ZVStamm#2#1#ZVkonfig#0#9
DATA>#Umlage:Umlageobjekt#Umlageobjekt (Umlage)#67:1#1#Selektions-Leiste#67#Umlage#2#1#Umlageobjekt#0#9
DATA>#Umlage:Kostenstellenumlageelement#Kostenstellenumlageelement (Umlage)#67:2#1#Selektions-Leiste#67#Umlage#4#2#Kostenstellenumlageelement#0#9
DATA>#Umlage:Verkehrszahlen#Verkehrszahlen (Umlage)#67:3#1#Selektions-Leiste#67#Umlage#8#3#Verkehrszahlen#0#9
DATA>#Umlage:ILV#ILV (Umlage)#67:5#1#Selektions-Leiste#67#Umlage#32#5#ILV#0#9
DATA>#Umlage:Kostenträgermonatsumlage#Kostenträgermonatsumlage (Umlage)#67:6#1#Selektions-Leiste#67#Umlage#64#6#Kostenträgermonatsumlage#1#9
